node_a,node_b,pc_stability,ges_stability
CREDSPREAD,UMCSENT,0.767,0.167
CREDSPREAD,TNX,0.7,0.5
OIL,USD,0.667,0.267
CREDSPREAD,FEDFUNDS,0.667,0.333
GOLD,UMCSENT,0.633,0.8
HOUST,FEDFUNDS,0.633,0.1
OIL,UMCSENT,0.6,0.633
CREDSPREAD,SP500,0.567,0.167
GOLD,OIL,0.533,0.667
USD,FEDFUNDS,0.533,0.4
VIX,UMCSENT,0.533,0.033
HOUST,SP500,0.533,0.467
UNRATE,FEDFUNDS,0.533,0.933
SP500,CPI,0.5,0.267
FEDFUNDS,UNRATE,0.467,0.067
CPI,SP500,0.467,0.733
USD,UNRATE,0.433,0.1
OIL,GOLD,0.433,0.333
CREDSPREAD,GOLD,0.4,0.233
UNRATE,UMCSENT,0.4,0.833
UNRATE,USD,0.367,0.167
UMCSENT,GOLD,0.367,0.067
HOUST,UMCSENT,0.367,0.0
UMCSENT,UNRATE,0.333,0.1
VIX,SP500,0.3,0.133
USD,OIL,0.3,0.733
FEDFUNDS,GOLD,0.267,0.067
OIL,UNRATE,0.267,0.733
SP500,CREDSPREAD,0.233,0.767
TNX,SP500,0.233,0.033
HOUST,VIX,0.2,0.033
FEDFUNDS,HOUST,0.2,0.167
UMCSENT,OIL,0.2,0.033
TNX,CREDSPREAD,0.2,0.433
CPI,UNRATE,0.167,0.867
GOLD,SP500,0.167,0.333
SP500,UNRATE,0.167,0.467
CREDSPREAD,USD,0.167,0.133
OIL,VIX,0.167,0.0
VIX,TNX,0.133,0.0
VIX,OIL,0.133,0.0
UNRATE,SP500,0.133,0.033
OIL,HOUST,0.133,0.267
HOUST,OIL,0.133,0.067
UNRATE,HOUST,0.1,0.033
HOUST,USD,0.1,0.233
TNX,GOLD,0.1,0.0
SP500,HOUST,0.1,0.067
HOUST,UNRATE,0.1,0.033
UMCSENT,VIX,0.1,0.867
VIX,HOUST,0.1,0.033
CREDSPREAD,VIX,0.1,0.0
SP500,GOLD,0.1,0.1
SP500,VIX,0.067,0.067
UMCSENT,HOUST,0.067,0.067
USD,UMCSENT,0.067,0.133
VIX,CREDSPREAD,0.067,0.0
GOLD,TNX,0.067,0.133
VIX,FEDFUNDS,0.067,0.0
FEDFUNDS,VIX,0.067,0.0
VIX,GOLD,0.067,0.0
OIL,TNX,0.067,0.367
OIL,SP500,0.067,0.067
TNX,VIX,0.067,0.0
CPI,OIL,0.067,0.067
FEDFUNDS,USD,0.067,0.033
USD,CREDSPREAD,0.033,0.2
CPI,UMCSENT,0.033,0.133
CREDSPREAD,HOUST,0.033,0.0
UMCSENT,USD,0.033,0.1
USD,VIX,0.033,0.067
UNRATE,VIX,0.033,0.033
SP500,OIL,0.033,0.133
SP500,TNX,0.033,0.367
GOLD,VIX,0.033,0.3
TNX,OIL,0.033,0.033
CPI,HOUST,0.033,0.467
UNRATE,CPI,0.033,0.1
CPI,USD,0.033,0.8
CPI,GOLD,0.033,0.5
UNRATE,OIL,0.033,0.067
TNX,UMCSENT,0.033,0.033
SP500,USD,0.0,0.2
USD,SP500,0.0,0.067
UMCSENT,SP500,0.0,0.233
SP500,UMCSENT,0.0,0.1
UMCSENT,TNX,0.0,0.033
FEDFUNDS,TNX,0.0,0.433
TNX,HOUST,0.0,0.067
HOUST,TNX,0.0,0.033
TNX,FEDFUNDS,0.0,0.4
UNRATE,TNX,0.0,0.4
TNX,CPI,0.0,0.067
CPI,TNX,0.0,0.533
USD,TNX,0.0,0.033
TNX,USD,0.0,0.033
TNX,UNRATE,0.0,0.067
FEDFUNDS,OIL,0.0,0.033
CREDSPREAD,OIL,0.0,0.033
GOLD,USD,0.0,0.333
USD,GOLD,0.0,0.033
GOLD,UNRATE,0.0,0.033
USD,HOUST,0.0,0.033
GOLD,CREDSPREAD,0.0,0.3
HOUST,GOLD,0.0,0.033
GOLD,HOUST,0.0,0.1
GOLD,FEDFUNDS,0.0,0.267
GOLD,CPI,0.0,0.4
UNRATE,CREDSPREAD,0.0,0.1
CREDSPREAD,UNRATE,0.0,0.067
CPI,FEDFUNDS,0.0,0.133
CREDSPREAD,CPI,0.0,0.133
HOUST,CPI,0.0,0.333
CPI,CREDSPREAD,0.0,0.167
FEDFUNDS,UMCSENT,0.0,0.067
FEDFUNDS,CREDSPREAD,0.0,0.067
UMCSENT,FEDFUNDS,0.0,0.033
UMCSENT,CREDSPREAD,0.0,0.1
