node_a,node_b,pc_stability,pc_constrained_stability,ges_stability
BMXBMI,RIDAGEYR,1.0,1.0,0.0
BPXSY1,RIDAGEYR,1.0,1.0,0.333
DIQ010,RIDAGEYR,1.0,1.0,0.5
ALQ130,RIDAGEYR,1.0,1.0,0.067
SMQ020,RIAGENDR,1.0,0.967,0.0
BPXSY1,RIAGENDR,1.0,1.0,0.433
ALQ130,RIAGENDR,1.0,1.0,0.067
SMQ020,INDFMPIR,1.0,0.0,0.9
ALQ130,INDFMPIR,1.0,1.0,0.0
PAQ605,RIAGENDR,0.933,0.8,0.1
SMQ020,RIDAGEYR,0.933,0.0,0.0
BPXDI1,RIAGENDR,0.933,0.967,0.033
LBXTC,RIDAGEYR,0.933,0.933,0.467
INDFMPIR,RIDAGEYR,0.933,0.967,0.1
LBDHDD,RIAGENDR,0.9,0.667,0.7
LBDHDD,INDFMPIR,0.867,0.0,0.0
BMXBMI,RIAGENDR,0.867,0.867,0.0
DIQ010,BMXBMI,0.867,0.0,0.067
LBDHDD,LBXTC,0.867,0.7,0.067
DIQ010,LBXTC,0.867,0.9,0.1
ALQ130,SMQ020,0.833,1.0,0.7
BPXDI1,BPXSY1,0.8,0.7,0.433
LBDHDD,RIDAGEYR,0.767,0.767,0.0
BPXDI1,RIDAGEYR,0.767,0.767,0.0
PAQ605,RIDAGEYR,0.767,0.767,0.1
BPXSY1,BMXBMI,0.733,0.0,0.5
BPXDI1,BMXBMI,0.733,0.0,0.0
DIQ010,LBDHDD,0.7,0.933,0.0
BPXDI1,INDFMPIR,0.7,0.7,0.0
PAQ605,INDFMPIR,0.667,0.0,0.0
BMXBMI,INDFMPIR,0.667,0.667,0.0
BPXDI1,LBXTC,0.633,1.0,0.833
DIQ010,BPXSY1,0.633,0.0,0.0
LBDHDD,BMXBMI,0.633,0.0,0.067
LBXTC,BMXBMI,0.6,0.0,0.0
BPXSY1,INDFMPIR,0.6,0.6,0.0
BPXSY1,LBXTC,0.567,0.867,0.0
ALQ130,PAQ605,0.5,0.667,0.0
PAQ605,SMQ020,0.433,0.433,0.0
LBXTC,BPXDI1,0.367,0.0,0.0
BMXBMI,LBXTC,0.367,0.967,0.0
BMXBMI,LBDHDD,0.367,1.0,0.933
LBXTC,INDFMPIR,0.333,0.0,0.0
LBXTC,BPXSY1,0.3,0.0,0.0
BMXBMI,BPXSY1,0.267,1.0,0.333
DIQ010,RIAGENDR,0.267,0.267,0.033
LBDHDD,DIQ010,0.233,0.0,0.267
PAQ605,DIQ010,0.233,0.0,0.0
DIQ010,SMQ020,0.233,0.3,0.0
SMQ020,LBDHDD,0.2,0.0,0.0
ALQ130,BMXBMI,0.2,0.2,0.0
LBXTC,RIAGENDR,0.2,0.2,0.0
RIAGENDR,RIDAGEYR,0.2,0.2,0.067
LBDHDD,BPXSY1,0.2,0.0,0.0
BPXSY1,BPXDI1,0.2,0.3,0.567
SMQ020,ALQ130,0.167,0.0,0.1
LBDHDD,BPXDI1,0.167,0.0,0.0
DIQ010,PAQ605,0.167,0.4,0.033
PAQ605,ALQ130,0.167,0.0,0.0
LBXTC,LBDHDD,0.133,0.3,0.0
ALQ130,BPXSY1,0.133,0.133,0.0
BMXBMI,DIQ010,0.133,1.0,0.1
PAQ605,BPXDI1,0.133,0.0,0.0
LBDHDD,SMQ020,0.133,0.333,0.0
RIAGENDR,LBDHDD,0.1,0.333,0.3
ALQ130,BPXDI1,0.1,0.1,0.0
BPXDI1,LBDHDD,0.1,0.267,0.0
ALQ130,LBDHDD,0.1,0.133,0.0
SMQ020,LBXTC,0.1,0.0,0.0
PAQ605,BMXBMI,0.1,0.0,0.0
BPXSY1,LBDHDD,0.067,0.267,0.0
SMQ020,BPXSY1,0.067,0.0,0.0
PAQ605,BPXSY1,0.067,0.0,0.0
SMQ020,DIQ010,0.067,0.0,0.0
SMQ020,BPXDI1,0.067,0.0,0.0
RIAGENDR,PAQ605,0.067,0.2,0.9
RIAGENDR,BPXDI1,0.033,0.0,0.0
RIDAGEYR,INDFMPIR,0.033,0.0,0.767
SMQ020,PAQ605,0.033,0.033,0.0
LBDHDD,PAQ605,0.033,0.067,0.0
DIQ010,INDFMPIR,0.033,0.033,0.0
INDFMPIR,PAQ605,0.033,0.7,0.0
INDFMPIR,RIAGENDR,0.033,0.033,0.0
BPXDI1,DIQ010,0.033,0.067,0.0
DIQ010,BPXDI1,0.033,0.0,0.0
SMQ020,BMXBMI,0.033,0.0,0.0
PAQ605,LBDHDD,0.033,0.0,0.0
ALQ130,DIQ010,0.033,0.033,0.0
LBXTC,DIQ010,0.033,0.0,0.2
LBDHDD,ALQ130,0.033,0.0,0.0
ALQ130,LBXTC,0.033,0.033,0.0
RIAGENDR,ALQ130,0.0,0.0,0.867
INDFMPIR,SMQ020,0.0,1.0,0.1
RIAGENDR,SMQ020,0.0,0.033,0.767
RIDAGEYR,LBDHDD,0.0,0.0,0.133
RIDAGEYR,LBXTC,0.0,0.0,0.067
RIDAGEYR,BPXSY1,0.0,0.0,0.667
RIDAGEYR,BPXDI1,0.0,0.0,0.067
RIDAGEYR,DIQ010,0.0,0.0,0.5
RIDAGEYR,SMQ020,0.0,0.933,0.7
RIDAGEYR,PAQ605,0.0,0.0,0.867
RIDAGEYR,ALQ130,0.0,0.0,0.933
RIDAGEYR,BMXBMI,0.0,0.0,0.033
RIDAGEYR,RIAGENDR,0.0,0.0,0.1
INDFMPIR,LBXTC,0.0,0.333,0.0
INDFMPIR,LBDHDD,0.0,0.867,0.0
RIAGENDR,LBXTC,0.0,0.0,0.033
RIAGENDR,BPXSY1,0.0,0.0,0.533
RIAGENDR,BMXBMI,0.0,0.0,0.033
BMXBMI,PAQ605,0.0,0.1,0.0
BPXDI1,SMQ020,0.0,0.067,0.0
BPXSY1,PAQ605,0.0,0.067,0.0
BPXSY1,SMQ020,0.0,0.067,0.0
BPXSY1,DIQ010,0.0,0.633,0.0
BMXBMI,SMQ020,0.0,0.033,0.0
BMXBMI,BPXDI1,0.0,0.733,0.0
LBXTC,SMQ020,0.0,0.1,0.0
BPXDI1,PAQ605,0.0,0.133,0.0
