noise_rate,repeat,shd_mean
0.1,0,5.2
0.1,1,7.2
0.1,2,7.133
0.1,3,11.0
0.1,4,9.333
0.1,5,7.2
0.1,6,13.333
0.1,7,7.133
0.1,8,5.2
0.1,9,8.867
0.2,0,7.0
0.2,1,11.133
0.2,2,9.2
0.2,3,9.0
0.2,4,15.133
0.2,5,9.2
0.2,6,7.533
0.2,7,9.133
0.2,8,16.867
0.2,9,12.867
0.3,0,12.533
0.3,1,14.533
0.3,2,10.867
0.3,3,13.133
0.3,4,18.467
0.3,5,13.333
0.3,6,11.333
0.3,7,14.933
0.3,8,20.333
0.3,9,19.533
0.5,0,18.8
0.5,1,28.733
0.5,2,21.133
0.5,3,17.133
0.5,4,20.467
0.5,5,20.933
0.5,6,20.667
0.5,7,14.6
0.5,8,22.667
0.5,9,22.8
