dataset,severity,condition,shd_mean,shd_std
asia,10,no_constraints,5.133,0.427
asia,10,logistic_selective,1.067,0.249
asia,10,global_oracle,1.167,0.373
asia,20,no_constraints,5.5,1.478
asia,20,logistic_selective,1.5,0.563
asia,20,global_oracle,1.667,0.699
asia,30,no_constraints,5.6,1.114
asia,30,logistic_selective,1.9,0.943
asia,30,global_oracle,1.733,0.964
asia,50,no_constraints,5.433,1.023
asia,50,logistic_selective,2.267,1.093
asia,50,global_oracle,2.133,1.284
sachs,10,no_constraints,30.0,0.0
sachs,10,logistic_selective,6.033,0.18
sachs,10,global_oracle,0.067,0.359
sachs,20,no_constraints,29.4,1.381
sachs,20,logistic_selective,4.767,0.989
sachs,20,global_oracle,1.1,1.044
sachs,30,no_constraints,28.233,3.253
sachs,30,logistic_selective,4.167,1.035
sachs,30,global_oracle,2.867,1.231
sachs,50,no_constraints,23.4,2.564
sachs,50,logistic_selective,9.767,1.647
sachs,50,global_oracle,9.333,1.886
