dataset,severity,condition,shd_mean,shd_std
asia,0.1,no_constraints,7.467,1.024
asia,0.1,chi2_selective,5.467,0.846
asia,0.1,logistic_selective,3.633,0.657
asia,0.1,global_oracle,3.567,0.616
asia,0.2,no_constraints,8.5,1.821
asia,0.2,chi2_selective,7.633,1.354
asia,0.2,logistic_selective,3.9,0.907
asia,0.2,global_oracle,3.733,0.727
asia,0.3,no_constraints,9.433,1.564
asia,0.3,chi2_selective,5.833,1.128
asia,0.3,logistic_selective,4.033,1.11
asia,0.3,global_oracle,4.167,0.934
asia,0.5,no_constraints,9.0,1.915
asia,0.5,chi2_selective,5.267,0.854
asia,0.5,logistic_selective,3.833,0.82
asia,0.5,global_oracle,3.933,1.181
sachs,0.1,no_constraints,24.833,4.212
sachs,0.1,chi2_selective,23.4,5.517
sachs,0.1,logistic_selective,5.667,2.959
sachs,0.1,global_oracle,3.833,1.462
sachs,0.2,no_constraints,25.967,4.215
sachs,0.2,chi2_selective,18.8,5.262
sachs,0.2,logistic_selective,7.1,1.921
sachs,0.2,global_oracle,5.633,1.663
sachs,0.3,no_constraints,27.333,4.693
sachs,0.3,chi2_selective,20.933,2.462
sachs,0.3,logistic_selective,5.0,2.366
sachs,0.3,global_oracle,3.3,1.676
sachs,0.5,no_constraints,23.033,2.456
sachs,0.5,chi2_selective,16.333,1.832
sachs,0.5,logistic_selective,10.867,2.093
sachs,0.5,global_oracle,11.067,1.861
